K,slate_type,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
5,archetype,centrist,C_PP,70,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,70,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,71,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,A,71,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,71,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,71,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,71,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,72,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,72,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,72,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,72,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,72,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,73,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,A,73,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,73,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,73,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,73,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,74,0.000000,0.711174,0.829481,1.057498
5,archetype,centrist,A,74,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,74,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,74,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,74,1.000000,1.057498,0.829481,1.057498
