dist_id,dist_label,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,minority_welfare
P1,unimodal,centrist,Z,42,0.221332,0.882896,0.832914,1.058737,0.698798
P1,unimodal,centrist,A,42,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,42,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,42,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,42,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,43,0.000000,0.718550,0.832914,1.058737,0.353534
P1,unimodal,centrist,A,43,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,43,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,43,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,43,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,44,0.000000,0.795994,0.832914,1.058737,0.672905
P1,unimodal,centrist,A,44,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,44,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,44,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,44,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,45,0.046714,0.843463,0.832914,1.058737,0.728105
P1,unimodal,centrist,A,45,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,45,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,45,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,45,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,46,0.289687,0.898332,0.832914,1.058737,0.692773
P1,unimodal,centrist,A,46,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,46,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,46,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,46,1.000000,1.058737,0.832914,1.058737,0.858528
