date,ticker,open,high,low,close
2025-02-03,MSFT,406.7745,410.5398,403.8689,406.1024
2025-02-03,NFLX,97.3,98.769,96.438,97.894
2025-02-03,NVDA,114.5789,118.3932,112.8415,116.486
2025-02-03,PEP,141.2441,142.5362,140.367,141.7251
2025-02-03,PFE,24.122,24.2779,23.9844,24.0303
2025-02-03,PG,159.8467,163.6238,159.6148,163.0249
2025-02-03,SPY,584.1955,591.7065,582.0467,589.2226
2025-02-03,TSLA,386.68,389.17,374.36,383.68
2025-02-03,UNH,524.8925,536.4266,523.9919,530.8774
2025-02-03,V,336.2104,342.1435,335.4589,341.9655
2025-02-03,WMT,95.474,98.4535,95.178,98.2069
2025-02-03,XOM,101.4947,102.1229,100.2384,101.923
2025-02-04,AAPL,225.8073,231.65,225.2111,231.3221
2025-02-04,AMD,115.45,119.85,114.79,119.5
2025-02-04,AMZN,239.01,242.52,238.03,242.06
2025-02-04,BAC,44.8133,45.5675,44.736,45.1614
2025-02-04,COST,997.3692,1016.1678,991.6651,1013.6977
2025-02-04,CSCO,59.0767,59.805,58.9699,59.5622
2025-02-04,CVX,139.4769,143.8566,139.4769,143.6972
2025-02-04,DIS,112.5552,113.4058,111.2793,112.0607
2025-02-04,GOOGL,202.3332,205.9741,201.7562,205.3076
2025-02-04,GS,613.4141,618.9174,610.5897,615.53
2025-02-04,HD,393.9405,396.8937,390.6505,395.8452
2025-02-04,INTC,19.1,19.53,19.02,19.29
2025-02-04,JNJ,145.2524,147.9586,144.8589,147.2965
2025-02-04,JPM,263.0719,263.0719,260.1373,261.2195
2025-02-04,KO,61.3651,61.3844,60.1496,60.4583
2025-02-04,MA,566.6289,567.7406,553.428,554.9465
2025-02-04,MCD,279.6857,280.5351,278.344,279.6953
2025-02-04,META,699.6927,704.8819,688.8462,701.3759
2025-02-04,MRK,85.1447,87.2781,83.547,86.8093
2025-02-04,MSFT,407.8517,409.0673,404.9363,407.5354
2025-02-04,NFLX,98.047,100.8,97.851,99.487
2025-02-04,NVDA,116.7856,121.0192,116.526,118.4731
2025-02-04,PEP,137.7922,139.3484,134.8685,135.3307
2025-02-04,PFE,23.9386,24.6906,23.48,23.7276
2025-02-04,PG,163.5369,163.5369,160.6292,162.4163
2025-02-04,SPY,589.2818,593.6878,588.7396,593.1753
2025-02-04,TSLA,382.63,394.0,381.4,392.21
2025-02-04,UNH,527.9914,531.4875,524.4179,528.2335
2025-02-04,V,340.7592,342.1534,338.7221,341.303
2025-02-04,WMT,98.6311,99.598,98.3549,99.4204
2025-02-04,XOM,101.5614,104.9591,101.39,104.6545
2025-02-05,AAPL,227.0792,231.1929,226.8208,230.9942
2025-02-05,AMD,107.61,112.09,106.5,112.01
2025-02-05,AMZN,237.02,238.32,235.2,236.17
2025-02-05,BAC,45.4224,45.5674,45.0937,45.5481
2025-02-05,COST,1011.8526,1034.7581,1011.8526,1034.5498
2025-02-05,CSCO,59.669,60.8925,59.5234,60.7566
2025-02-05,CVX,143.4814,144.2411,142.8249,143.4814
2025-02-05,DIS,114.4344,117.2928,109.0243,109.3309
2025-02-05,GOOGL,190.0772,191.7485,187.053,190.3359
2025-02-05,GS,619.2376,627.4003,616.8403,626.4686
2025-02-05,HD,399.366,399.366,392.6225,398.0866
2025-02-05,INTC,19.19,19.77,18.91,19.65
2025-02-05,JNJ,147.6131,148.4864,147.1237,148.448
2025-02-05,JPM,262.1652,263.8518,261.5997,263.6471
2025-02-05,KO,60.5065,61.0564,60.3811,60.8924
2025-02-05,MA,557.1699,562.6488,555.6315,562.0731
2025-02-05,MCD,279.9173,280.1779,276.3845,278.788
2025-02-05,META,700.7385,715.2702,696.2167,702.0532
2025-02-05,MRK,86.4745,86.8093,84.188,85.7857
2025-02-05,MSFT,407.5157,408.9783,405.5885,408.4447
2025-02-05,NFLX,98.773,101.183,98.668,101.111
2025-02-05,NVDA,121.5784,124.8136,120.5799,124.6438
2025-02-05,PEP,135.2363,137.4999,134.5856,137.3773
2025-02-05,PFE,23.801,24.4797,23.5717,24.2504
2025-02-05,PG,162.3777,163.392,160.948,163.2664
2025-02-05,SPY,592.0516,595.7282,590.021,595.5803
